"item_id","category","item_name","unit","verification_method","evidence_url","verified_date","round"
"669e106bf41d","給湯器","コロナ エコキュート CHP-37AY4 370L","台","catalog-2026-07","https://www.seikatsu-do.com/water-heater/ecocute/corona/370l/CHP-37AY4/","2026-07-21","R1/R2昇格"
"4eb62f2f3422","給湯器","コロナ 石油給湯器（屋外型）","台","catalog-2026-07","https://www.corona.co.jp/oil_hot-water/nx/lineup.html","2026-07-21","R1/R2昇格"
"6be9b434e07b","給湯器","コロナ 石油給湯器（水道直圧）","台","catalog-2026-07","https://www.corona.co.jp/oil_hot-water/nx/lineup.html","2026-07-21","R1/R2昇格"
"4f8a7fee9ed7","給湯器","ダイキン エコキュート EQ37VFV 370L","台","catalog-2026-07","https://www.ac.daikin.co.jp/sumai/alldenka/ecocute/lineup","2026-07-21","R1/R2昇格"
"036f0475902c","給湯器","ノーリツ GT-C1662SAWX 16号","台","catalog-2026-07","https://www.kyutooki.com/gas/products_detail/?product_code=GT-C2462SAWX-2+BL","2026-07-21","R1/R2昇格"
"7c14965db70f","給湯器","ノーリツ GT-C2052SAWX 20号","台","catalog-2026-07","https://www.kyutooki.com/gas/products_detail/?product_code=GT-C2462SAWX-2+BL","2026-07-21","R1/R2昇格"
"ba9b1366b4d0","給湯器","ノーリツ GT-C2462SAWX 24号","台","catalog-2026-07","https://www.kyutooki.com/gas/products_detail/?product_code=GT-C2462SAWX-2+BL","2026-07-21","R1/R2昇格"
"0f20873f8623","給湯器","ノーリツ 給湯器 16号 LPガス ふろ給湯 フルオート","台","catalog-2026-07","https://www.noritz.co.jp/product/kyutou_bath/gas/gasfuro_eco/gasfuro_c72.html","2026-07-21","R1/R2昇格"
"d9627ac76b9c","給湯器","ノーリツ 給湯器 16号 LPガス ふろ給湯 追い炊き付き","台","catalog-2026-07","https://www.noritz.co.jp/product/kyutou_bath/gas/gasfuro_eco/gasfuro_c72.html","2026-07-21","R1/R2昇格"
"85c48dd52d93","給湯器","ノーリツ 給湯器 16号 LPガス 給湯専用","台","catalog-2026-07","https://www.noritz.co.jp/product/kyutou_bath/gas/gasfuro_eco/gasfuro_c72.html","2026-07-21","R1/R2昇格"
"73a94f2effd3","給湯器","ノーリツ 給湯器 16号 エコジョーズ追い焚き付き","台","catalog-2026-07","https://www.noritz.co.jp/product/kyutou_bath/gas/gasfuro_eco/gasfuro_c72.html","2026-07-21","R1/R2昇格"
"4bd67393bfc6","給湯器","ノーリツ 給湯器 16号 標準","台","catalog-2026-07","https://www.noritz.co.jp/product/kyutou_bath/gas/gasfuro_eco/gasfuro_c72.html","2026-07-21","R1/R2昇格"
"c5ac290442e8","給湯器","ノーリツ 給湯器 16号 都市ガス 13A ふろ給湯 フルオート","台","catalog-2026-07","https://www.noritz.co.jp/product/kyutou_bath/gas/gasfuro_eco/gasfuro_c72.html","2026-07-21","R1/R2昇格"
