category,item_name,unit,reason,retracted_reason
フローリング・床材,コロナ エアコン 20畳用 スタンダード,台,retracted品名と一致し今回追加したもの,（品名一致）
フローリング・床材,コロナ エアコン 20畳用 ミドル,台,retracted品名と一致し今回追加したもの,（品名一致）
フローリング・床材,コロナ エアコン 20畳用 プレミアム,台,retracted品名と一致し今回追加したもの,（品名一致）
給湯器,ノーリツ 給湯器（28号 標準）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,ノーリツ 給湯器（28号 エコジョーズ）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,ノーリツ 給湯器（28号 エコジョーズ追い焚き）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,リンナイ 給湯器（28号 標準）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,リンナイ 給湯器（28号 エコジョーズ）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,リンナイ 給湯器（28号 エコジョーズ追い焚き）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,パーパス 給湯器（28号 標準）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,パーパス 給湯器（28号 エコジョーズ）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,パーパス 給湯器（28号 エコジョーズ追い焚き）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,パナソニック 給湯器（28号 標準）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,パナソニック 給湯器（28号 エコジョーズ）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,パナソニック 給湯器（28号 エコジョーズ追い焚き）,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,ノーリツ 給湯器 28号 エコジョーズ追い焚き付き,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,リンナイ 給湯器 28号 エコジョーズ追い焚き付き,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,パーパス 給湯器 28号 エコジョーズ追い焚き付き,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,パナソニック 給湯器 28号 エコジョーズ追い焚き付き,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,コロナ 給湯器 16号 エコジョーズ追い焚き付き,台,retractedと完全一致,エコジョーズはガス技術、コロナ非該当
給湯器,コロナ 給湯器 20号 エコジョーズ追い焚き付き,台,retractedと完全一致,エコジョーズはガス技術、コロナ非該当
給湯器,コロナ 給湯器 24号 エコジョーズ追い焚き付き,台,retractedと完全一致,エコジョーズはガス技術、コロナ非該当
給湯器,コロナ 給湯器 28号 標準,台,retractedと完全一致,家庭用28号は非実在(16/20/24のみ)
給湯器,コロナ 給湯器 28号 エコジョーズ追い焚き付き,台,retractedと完全一致,エコジョーズはガス技術、コロナ非該当
給湯器,コロナ 石油給湯器 UIB-NX46RY 46号,台,retractedと完全一致,実在形はUIB-NX46R(MS)/(FF)、RY+46号は非実在
フローリング・床材,富士通 AS-M222N 6畳 2.2kW,台,retracted品名と一致し今回追加したもの,（品名一致）
フローリング・床材,東芝 RAS-2224DT 6畳 2.2kW,台,retracted品名と一致し今回追加したもの,（品名一致）
給湯器,ノーリツ GT-C6052SAWX 60号,台,retractedと完全一致,60号は非実在の架空外挿
