flag_code,severity,pattern_en,pattern_ja,reason_en,fraud_rate_pct
DOOR_TO_DOOR_ROOF_DAMAGE,🔴 CRITICAL,,,,
INSURANCE_FRAUD,🔴 CRITICAL,,,,
DRONE_PHOTO_FAKE,🚨 HIGH,,,,
NEIGHBOR_SCAFFOLD_LEFTOVER,🚨 HIGH,,,,
UNNECESSARY_COVER,🚨 HIGH,,,,
UNNECESSARY_REPLACEMENT,🚨 HIGH,,,,
ASBESTOS_IMPROPER,🔴 CRITICAL,,,,
MISSING_EDGE_CUTTING,⚠️ MEDIUM,,,,
COVER_OVER_2M,🚨 HIGH,,,,
REPLACEMENT_OVER_2.5M,🚨 HIGH,,,,
MUNE_BANKIN_OVER_10K_M,⚠️ MEDIUM,,,,
MISSING_ROOFING_SHEET,🔴 CRITICAL,,,,
NOJI_ITA_NOT_CHECKED,🚨 HIGH,,,,
