item_id,category,item_name,unit,block,証拠等級,証拠ref,証拠URL,理由
1461e716b3a7,給湯器,コロナ 石油給湯器 UIB-NX46RY 46号,台,型番:UIB-NX46RY,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,実在形はUIB-NX46R(MS)/(FF)、RY+46号は非実在
ed54c50ce04d,給湯器,コロナ 給湯器 16号 LPガス ふろ給湯 フルオート,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
b51dd3e1fac3,給湯器,コロナ 給湯器 16号 LPガス ふろ給湯 追い炊き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
8691559a85a9,給湯器,コロナ 給湯器 16号 LPガス ふろ給湯（BF）,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
92aa68ccb17a,給湯器,コロナ 給湯器 16号 LPガス 暖房熱源機,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
4371dac855a4,給湯器,コロナ 給湯器 16号 LPガス 給湯専用,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
bee40f4bc3e7,給湯器,コロナ 給湯器 16号 エコジョーズ追い焚き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,エコジョーズはガス技術、コロナ非該当
147c6639144c,給湯器,コロナ 給湯器 16号 都市ガス 13A ふろ給湯 フルオート,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
98b962136e0f,給湯器,コロナ 給湯器 16号 都市ガス 13A ふろ給湯 追い炊き付き,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
da48bea0accd,給湯器,コロナ 給湯器 16号 都市ガス 13A ふろ給湯（BF）,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
e28e4b7cd0ee,給湯器,コロナ 給湯器 16号 都市ガス 13A 暖房熱源機,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
3f574995b57c,給湯器,コロナ 給湯器 16号 都市ガス 13A 給湯専用,台,コロナ×ガス,A,E09,https://www.corona.co.jp/oil_hot-water/nx/lineup.html,コロナにガス給湯器無し
