"category","item_name","unit"
"RC・コンクリート工事","AE減水剤（1L）","L"
"RC・コンクリート工事","PC板（プレキャスト 1m2）","m2"
"RC・コンクリート工事","Uカット工法（1m）","m"
"RC・コンクリート工事","アラミド繊維シート補強（1㎡・材工込み）","㎡"
"RC・コンクリート工事","アンカーボルト（M12×600）","本"
"RC・コンクリート工事","アンカーボルト（M16×600）","本"
"RC・コンクリート工事","アンカー打込み（M12 1本）","本"
"RC・コンクリート工事","エポキシ樹脂注入キット（低圧注入器+樹脂 10本セット）","セット"
"RC・コンクリート工事","エポキシ樹脂注入材（1kg）","kg"
"RC・コンクリート工事","エポキシ樹脂注入（1箇所）","箇所"
"RC・コンクリート工事","クラックシール工法（1m）","m"
"RC・コンクリート工事","グラウト材（25kg）","袋"
"RC・コンクリート工事","ケミカルアンカー（M12用 380ml）","本"
"RC・コンクリート工事","ケミカルアンカー（M16用 380ml）","本"
"RC・コンクリート工事","コア抜き（Φ100 1箇所）","箇所"
"RC・コンクリート工事","コア抜き（Φ150 1箇所）","箇所"
"RC・コンクリート工事","コンクリートカッター（1m）","m"
"RC・コンクリート工事","コンクリート工事副材 AE減水剤（1kg）","個"
"RC・コンクリート工事","コンクリート工事副材 コンクリート打設ポンプ車 1日","個"
"RC・コンクリート工事","コンクリート工事副材 バイブレーター 先端φ40 レンタル1日","個"
"RC・コンクリート工事","コンクリート工事副材 収縮低減剤（1L）","個"
"RC・コンクリート工事","コンクリート工事副材 墨出し用墨（チョーク 赤 1本）","個"
"RC・コンクリート工事","コンクリート工事副材 急結剤（1kg）","個"
"RC・コンクリート工事","コンクリート工事副材 水中不分離性混和剤（1kg）","個"
"RC・コンクリート工事","コンクリート工事副材 膨張材（1kg）","個"
"RC・コンクリート工事","コンクリート工事副材 防水剤（コンクリート用 1kg）","個"
"RC・コンクリート工事","コンクリート工事副材 養生シート（ポリエチレン 5m×50m）","個"
"RC・コンクリート工事","コンクリート工事副材 養生テープ（50mm×25m）","個"
"RC・コンクリート工事","コンクリート工事副材 高性能AE減水剤（1kg）","個"
"RC・コンクリート工事","コンクリート打設（ポンプ車込み 1m3）","m3"
"RC・コンクリート工事","コンクリート混和剤（AE減水剤 20L）","缶"
"RC・コンクリート工事","コンクリート混和剤（促進剤 20L）","缶"
"RC・コンクリート工事","コンクリート混和剤（収縮低減剤 20L）","缶"
"RC・コンクリート工事","コンクリート混和剤（繊維補強材 20L）","缶"
