flag_code,severity,pattern_en,pattern_ja,reason_en,fraud_rate_pct
BODY_PRICE_LIST_CLOSE,CRITICAL,Kitchen body quoted at list price or less than 20% off,キッチン本体が定価のまま or 定価の20%OFF未満で計上,Industry standard trade purchase is 50-60% off list. List-price quoting is overpricing.,
HIGH_GRADE_FORCED,HIGH,Pushing high-grade (Richelle/Sentro/L-Class) for typical households,一般家庭なのにハイグレード（リシェル・セントロ等）強く推奨,Mid-grade sufficient for 90%+ of households. Forces 700K-1.5M JPY excess for vendor margin.,
FORCED_LAYOUT_CHANGE,HIGH,Pushing layout change when same-position would suffice,同位置交換で済む案件に壁付け→対面式レイアウト変更を強く推奨,"Adds 500K-1M JPY for piping/interior re-work, inflating margin.",
OPTION_MANDATORY,MEDIUM,'Mandatory' bundling of dishwasher / water purifier / IH,食洗機・浄水器・IHを『セット必須』として抱き合わせ,All optional. Dishwasher alone adds 150-300K JPY.,
I_TYPE_OVER_1500K,HIGH,Mid-grade I-type same-position quote over 1.5M JPY,"ミドルI型 同位置交換で¥1,500,000超",HS standard 1.296M JPY. Over 1.5M overpriced.,
I_TYPE_OVER_2000K,CRITICAL,Mid-grade I-type same-position quote over 2M JPY,"ミドルI型 同位置交換で¥2,000,000超",Exceeds 1.5x market rate. Confirmed overpricing.,
PENINSULA_OVER_2500K,HIGH,Mid-grade peninsula conversion over 2.5M JPY,"ミドルペニンシュラ化で¥2,500,000超",HS standard 1.8M JPY. Over 2.5M overpriced.,
UNCLEAR_MODEL_GRADE,CRITICAL,Manufacturer / series / model / grade not specified,キッチンメーカー・シリーズ名・型番・グレード不明,LIXIL Sierra-S vs Richelle differ by over 1M JPY. Ambiguity is fraud territory.,
PIPE_LUMP_SUM,MEDIUM,Water/gas/duct work lumped as single line item,給排水・ガス・ダクト工事が『一式』計上,Per-item itemization possible. Lumping facilitates overpricing.,
INTERIOR_COMBO_FORCED,MEDIUM,Same-position replacement bundled with full floor/wall/ceiling redo,同位置交換なのに床・壁・天井の全面張替えを抱き合わせ,Same-position usually requires only partial floor patching. Full redo adds 200-400K JPY.,
GAS_WORKER_NO_LICENSE,CRITICAL,Unlicensed worker performing gas connection,ガス接続工事を無資格者が担当,Gas Equipment Installation Supervisor license is legally required.,
ELECTRICIAN_NO_LICENSE,CRITICAL,Unlicensed worker handling electrical work,電気工事を無資格者が兼務,Class-2 Electrician license is legally required.,
LAYOUT_CHANGE_HIDDEN_COST,HIGH,Layout change without disclosing hidden costs (piping/electric/gas relocation),レイアウト変更の隠れコスト（配管・電気・ガス移設）説明なし,Layout changes add 300-800K JPY for relocations. Pre-disclosure required.,
