category,item_name,unit
コンクリート二次製品,歩車道境界ブロック 切下 198/210×150×600,個
コンクリート二次製品,歩車道境界ブロック 切下 198/210×120×600,個
コンクリート二次製品,歩車道境界ブロック 特製B 180/230×250×600,個
コンクリート二次製品,歩車道境界ブロック 特製C 180/240×300×600,個
管材・管きょ,ヒューム管 有孔管B型1種 内径150 L=2m,本
管材・管きょ,ヒューム管 有孔管B型1種 内径200 L=2m,本
管材・管きょ,ヒューム管 有孔管B型1種 内径250 L=2m,本
管材・管きょ,ヒューム管 有孔管B型1種 内径300 L=2m,本
管材・管きょ,ヒューム管 有孔管B型1種 内径400 L=2.43m,本
管材・管きょ,ヒューム管 有孔管B型2種 内径300 L=2m,本
コンクリート二次製品,ボックスカルバート T-25 600×600×2000,個
コンクリート二次製品,ボックスカルバート T-25 800×800×2000,個
コンクリート二次製品,ボックスカルバート T-25 1000×1000×2000,個
コンクリート二次製品,ボックスカルバート T-25 1200×1000×2000,個
コンクリート二次製品,ボックスカルバート T-25 1200×1200×2000,個
コンクリート二次製品,ボックスカルバート T-25 1400×1400×2000,個
コンクリート二次製品,ボックスカルバート T-25 1500×1000×2000,個
コンクリート二次製品,ボックスカルバート T-25 1500×1200×2000,個
コンクリート二次製品,ボックスカルバート T-25 1800×1500×2000,個
コンクリート二次製品,ボックスカルバート T-25 1800×1800×2000,個
コンクリート二次製品,ボックスカルバート T-25 2000×1500×2000,個
コンクリート二次製品,ボックスカルバート T-25 2000×1800×2000,個
コンクリート二次製品,ボックスカルバート T-25 2000×2000×2000,個
コンクリート二次製品,L型コンクリート擁壁 H750×L2000,個
コンクリート二次製品,L型コンクリート擁壁 H3250×L2000,個
コンクリート二次製品,L型コンクリート擁壁 H3500×L2000,個
コンクリート二次製品,L型コンクリート擁壁 H3750×L2000,個
コンクリート二次製品,L型コンクリート擁壁 H4000×L2000,個
コンクリート二次製品,L型コンクリート擁壁 H4250×L2000,個
コンクリート二次製品,L型コンクリート擁壁 H4500×L2000,個
コンクリート二次製品,L型コンクリート擁壁 H4750×L2000,個
コンクリート二次製品,L型コンクリート擁壁 H5000×L2000,個
コンクリート二次製品,勾配可変側溝 US9-A型 溶融スラグ 300×300 L=2m,個
コンクリート二次製品,勾配可変側溝 US9-A型 溶融スラグ 300×400 L=2m,個
コンクリート二次製品,勾配可変側溝 US9-A型 溶融スラグ 500×500 L=2m,個
コンクリート二次製品,路面排水桝 溶融スラグ グレーチング含む T-25,個
コンクリート二次製品,地先境界ブロック 溶融スラグ 150×150×600 C,個
コンクリート二次製品,ベンチフリューム I型 300 L=2000,個
コンクリート二次製品,ベンチフリューム I型 400 L=2000,個
コンクリート二次製品,ベンチフリューム I型 500 L=2000,個
コンクリート二次製品,ベンチフリューム I型 600 L=2000,個
コンクリート二次製品,ベンチフリューム II型 300 L=2000,個
コンクリート二次製品,ベンチフリューム II型 400 L=2000,個
コンクリート二次製品,ベンチフリューム II型 500 L=2000,個
コンクリート二次製品,ベンチフリューム蓋 CB-300 L=1000,枚
コンクリート二次製品,ベンチフリューム蓋 CB-400 L=1000,枚
コンクリート二次製品,ベンチフリューム蓋 CB-500 L=1000,枚
コンクリート二次製品,ベンチフリューム蓋 CB-600 L=1000,枚
コンクリート二次製品,ベンチフリューム蓋 CB-800 L=1000,枚
コンクリート二次製品,ベンチフリューム蓋 CB-1000 L=1000,枚
河川・砂防・港湾資材,大型平張ブロック I型 t=120mm 1×1m,m2
河川・砂防・港湾資材,大型平張ブロック I型 t=150mm 1×1m,m2
河川・砂防・港湾資材,大型平張ブロック I型 t=200mm 1×1m,m2
河川・砂防・港湾資材,大型平張ブロック I型 t=250mm 1×1m,m2
水道資材,ベンチフリューム BF-300 ソケット付 300 L=2000,個
コンクリート二次製品,ボックスカルバート T-25 RC B300×H300×2000,個
コンクリート二次製品,ボックスカルバート T-25 RC B400×H400×2000,個
コンクリート二次製品,ボックスカルバート T-25 RC B500×H500×2000,個
鋼材・鉄鋼製品・金物,構造用丸鋼 SS400 径28,t
木材,松丸太 末口15cm×5m,m3
木材,松丸太 長2.0m 末口15cm,本
木材,松丸太 長3.0m 末口15cm,本
木材,平割材 杉 1.8m×3cm×6cm 1等,m3
木材,平割材 杉 4m×4.5cm×10.5cm 1等,m3
鋼材・鉄鋼製品・金物,ボルト 径6×90,本
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×50,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×55,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×60,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×65,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×70,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×75,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×80,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×85,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×90,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×95,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×100,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×105,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×110,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×115,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×120,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×125,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×130,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×135,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×140,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×145,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×150,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×155,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト 六角 防錆処理 F10T M22×160,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×50,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×55,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×60,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×65,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×70,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×75,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×80,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×85,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×90,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×95,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×100,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×105,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×110,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×115,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×120,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×125,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×130,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×135,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×140,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×145,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×150,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×155,組
鋼材・鉄鋼製品・金物,摩擦接合用高力ボルト トルシア 防錆処理 S10T M22×160,組
鋼材・鉄鋼製品・金物,継手ボルト 径19 L=50,本
鋼材・鉄鋼製品・金物,継手ボルト 径25 L=75,本
樹脂・塗料・補修・防水材,樹脂 樹脂モルタル用,kg
その他建設資材,掘削 土砂・オープンカット・押土有・普通土・30000m3未満（ブルドーザ20t級）,m3
その他建設資材,掘削 土砂・オープンカット・押土有・普通土・30000m3以上（ブルドーザ32t級）,m3
その他建設資材,掘削 土砂・オープンカット・押土無・普通土・5000m3未満（バックホウ0.8m3）,m3
コンクリート二次製品,鉄筋コンクリートU型蓋 PC5型B300,個
コンクリート二次製品,鉄筋コンクリートU型蓋 PC7型B300,個
コンクリート二次製品,鉄筋コンクリートU型蓋 PC7型B400,個
コンクリート二次製品,鉄筋コンクリートU型蓋 PC8型B300,個
コンクリート二次製品,鉄筋コンクリートU型蓋 PC8型B400,個
コンクリート二次製品,鉄筋コンクリートU型蓋 PC電柱回りB300,個
コンクリート二次製品,鉄筋コンクリートU型蓋 PC電柱回りB400,個
コンクリート二次製品,鉄筋コンクリートU型側溝 240型(L=1000),個
コンクリート二次製品,鉄筋コンクリートU型側溝 300B型(L=1000),個
コンクリート二次製品,鉄筋コンクリートU型側溝 360B型(L=1000),個
コンクリート二次製品,鉄筋コンクリートU型側溝 240L(L=2000),個
コンクリート二次製品,鉄筋コンクリートU型側溝 300BL(L=2000),個
コンクリート二次製品,PU型側溝 6型W300*300*2000,個
コンクリート二次製品,PU型側溝 6型W300*400*2000,個
コンクリート二次製品,PU型側溝 6型W400*400*2000,個
コンクリート二次製品,PU型側溝 6型W400*500*2000,個
コンクリート二次製品,PU型側溝 7型W300*300*2000,個
コンクリート二次製品,PU型側溝 7型W300*400*2000,個
コンクリート二次製品,落蓋式U型側溝 240型,個
コンクリート二次製品,落蓋式U型側溝 300型,個
コンクリート二次製品,落蓋式U型側溝 400型,個
コンクリート二次製品,横断側溝グレーチング蓋付 240*240*600,個
コンクリート二次製品,横断側溝グレーチング蓋付 300*300*1000,個
コンクリート二次製品,横断側溝グレーチング蓋付 300*350*1000,個
コンクリート二次製品,横断側溝グレーチング蓋付 400*400*1000,個
コンクリート二次製品,横断側溝グレーチング蓋付 500*500*1000,個
コンクリート二次製品,自由勾配側溝Ｆ型 240*240*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 240*300*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 240*400*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 300*1100*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 400*1100*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 400*1200*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 500*1100*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 500*1200*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 500*1300*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 500*1400*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 600*1100*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 600*1200*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 600*1300*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 600*1400*2000,個
コンクリート二次製品,自由勾配側溝Ｆ型 600*1500*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*300*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*400*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*500*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*600*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*700*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*800*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*900*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*1000*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 300*1100*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*400*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*500*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*600*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*700*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*800*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*900*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*1000*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*1100*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 400*1200*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 500*500*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 500*600*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 500*700*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 500*800*2000,個
コンクリート二次製品,自由勾配側溝Ｌ型 500*900*2000,個
コンクリート二次製品,雨水桝 Aタイプ 400*400,組
コンクリート二次製品,雨水桝 Bタイプ 400*400,組
コンクリート二次製品,集水桝グレーチング蓋付 300用,組
コンクリート二次製品,集水桝グレーチング蓋付 400用,組
コンクリート二次製品,集水桝グレーチング蓋付 T-20,個
コンクリート二次製品,U型分水溝 240*240*600,本
コンクリート二次製品,U型分水溝 300*300*600,本
コンクリート二次製品,U型分水溝 360*360*600,本
コンクリート二次製品,U型分水溝 450*450*600,本
コンクリート二次製品,U型分水溝 600*600*600,本
コンクリート二次製品,U型分水溝 240*240*1000,本
コンクリート二次製品,U型分水溝 300*300*1000,本
コンクリート二次製品,U型分水溝 360*360*1000,本
コンクリート二次製品,U型分水溝 450*450*1000,本
コンクリート二次製品,歩車道境界ブロック 150*170*200*990,個
コンクリート二次製品,歩車道境界ブロック 180*205*250*990,個
コンクリート二次製品,歩車道境界ブロック 180*210*300*990,個
