category,item_name,unit,source_file
フローリング・床材,複合フローリング 12mm（1m²）,m²,data/reno-bom-80sqm-v2.json
諸経費・保険・申請,建設工事保険（1億円補償 1現場）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,賠償責任保険（年間 中小業者）,年,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,住宅瑕疵担保保険（1棟）,棟,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,リフォーム瑕疵保険（1件）,件,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,完成保証保険（1件）,件,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,労災保険（現場 1人月）,人月,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,火災保険（建物 10年）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,地震保険（1年）,年,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,メーカー保証延長（5年→10年）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,長期優良住宅認定申請費,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,住宅性能評価（設計評価）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,住宅性能評価（建設評価）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,BELS評価申請費,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,建築確認申請（木造2階 100m2以下）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,建築確認申請（木造2階 100m2超）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,中間検査申請費,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,完了検査申請費,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,地盤保証（20年）,式,data/reno-bom-80sqm-v4.json
仮設・足場資材,現場養生清掃費（1日）,日,data/reno-bom-80sqm-v4.json
労務単価,竣工清掃費（1m2）,m2,data/reno-bom-80sqm-v4.json
エアコン・空調,エアコンクリーニング（1台）,台,data/reno-bom-80sqm-v4.json
労務単価,施工管理アプリ（月額）,月,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,住宅ローン保証料（借入3000万 一括）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,火災保険（35年 木造）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,地震保険（年額）,年,data/reno-bom-80sqm-v4.json
労務単価,印紙税（工事請負 1億未満）,式,data/reno-bom-80sqm-v4.json
労務単価,印紙税（工事請負 5000万未満）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,溶接検査 超音波探傷（1箇所）,箇所,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,溶接検査 外観（1箇所）,箇所,data/reno-bom-80sqm-v4.json
断熱材,熱画像診断 断熱欠陥（1棟）,棟,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,建設業許可申請費（一般 知事許可）,式,data/reno-bom-80sqm-v4.json
諸経費・保険・申請,建設業許可申請費（特定 知事許可）,式,data/reno-bom-80sqm-v4.json
労務単価,1級施工管理技士 資格取得費,式,data/reno-bom-80sqm-v4.json
労務単価,2級施工管理技士 資格取得費,式,data/reno-bom-80sqm-v4.json
解体・廃材処理,解体工事施工技士 資格取得費,式,data/reno-bom-80sqm-v4.json
労務単価,職長・安全衛生責任者 講習費,式,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（オーク 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（オーク 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（オーク 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ウォールナット 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ウォールナット 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ウォールナット 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（チェリー 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（チェリー 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（チェリー 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（メープル 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（メープル 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（メープル 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（バンブー 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（バンブー 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（バンブー 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（桐 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（桐 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（桐 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（杉 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（杉 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（杉 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（桧 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（桧 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（桧 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（チーク 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（チーク 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（チーク 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（アッシュ 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（アッシュ 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（アッシュ 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ブラックチェリー 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ブラックチェリー 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ブラックチェリー 18mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ローズウッド 12mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ローズウッド 15mm）,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング（ローズウッド 18mm）,m2,data/reno-bom-80sqm-v4.json
システムキッチン,ガスコンロ（3口 標準）,台,data/reno-bom-80sqm-v4.json
システムキッチン,食洗機（ビルトイン 標準）,台,data/reno-bom-80sqm-v4.json
ユニットバス,浴室換気乾燥機,台,data/reno-bom-80sqm-v4.json
ガス設備・配管,床暖房（ガス 1m2）,m2,data/reno-bom-80sqm-v4.json
衛生器具（トイレ・洗面）,トイレットペーパーホルダー,個,data/reno-bom-80sqm-v4.json
衛生器具（トイレ・洗面）,水栓金具（混合栓 洗面用）,個,data/reno-bom-80sqm-v4.json
システムキッチン,水栓金具（混合栓 キッチン用）,個,data/reno-bom-80sqm-v4.json
給排水配管材,排水トラップ（Pトラップ 50mm）,個,data/reno-bom-80sqm-v4.json
給排水配管材,排水トラップ（Sトラップ 50mm）,個,data/reno-bom-80sqm-v4.json
労務単価,大工（普通）,日,data/reno-bom-80sqm-v4.json
労務単価,大工（熟練）,日,data/reno-bom-80sqm-v4.json
労務単価,鉄筋工,日,data/reno-bom-80sqm-v4.json
労務単価,とび工,日,data/reno-bom-80sqm-v4.json
労務単価,型枠大工,日,data/reno-bom-80sqm-v4.json
左官・モルタル材料,左官工,日,data/reno-bom-80sqm-v4.json
タイル・石材,タイル工,日,data/reno-bom-80sqm-v4.json
労務単価,板金工,日,data/reno-bom-80sqm-v4.json
塗装・コーキング・接着剤,塗装工,日,data/reno-bom-80sqm-v4.json
内装仕上げ材,内装工,日,data/reno-bom-80sqm-v4.json
給排水配管材,配管工,日,data/reno-bom-80sqm-v4.json
労務単価,電工,日,data/reno-bom-80sqm-v4.json
エアコン・空調,空調工,日,data/reno-bom-80sqm-v4.json
労務単価,溶接工,日,data/reno-bom-80sqm-v4.json
ガラス工事,ガラス工,日,data/reno-bom-80sqm-v4.json
防水工事材料,防水工,日,data/reno-bom-80sqm-v4.json
窓・サッシ,サッシ工,日,data/reno-bom-80sqm-v4.json
解体・廃材処理,解体工,日,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング オーク 21mm,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング ウォールナット 21mm,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング チェリー 21mm,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング メープル 21mm,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング バンブー 21mm,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング 桐 21mm,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング 杉 21mm,m2,data/reno-bom-80sqm-v4.json
フローリング・床材,無垢フローリング 桧 21mm,m2,data/reno-bom-80sqm-v4.json
衛生器具（トイレ・洗面）,タカラ 洗面台900mm,式,data/reno-bom-80sqm-v4.json
給湯器,リンナイ 給湯器24号追い焚き,台,data/reno-bom-80sqm-v4.json
システムキッチン,TOTO システムキッチン2400ハイグレード,式,data/reno-bom-80sqm-v4.json
システムキッチン,LIXIL システムキッチン2100スタンダード,式,data/reno-bom-80sqm-v4.json
システムキッチン,パナソニック 食洗機ビルトイン45cm,台,data/reno-bom-80sqm-v4.json
システムキッチン,パナソニック 食洗機ビルトイン60cm,台,data/reno-bom-80sqm-v4.json
ユニットバス,カワック浴室乾燥機（電気）,台,data/reno-bom-80sqm-v4.json
ユニットバス,カワック浴室乾燥機（ガス）,台,data/reno-bom-80sqm-v4.json
防水工事材料,洗濯機用防水パン740×640,個,data/reno-bom-80sqm-v4.json
システムキッチン,キッチン用タッチレス水栓 TOTO,個,data/reno-bom-80sqm-v4.json
ユニットバス,浴室用サーモスタット LIXIL,個,data/reno-bom-80sqm-v4.json
衛生器具（トイレ・洗面）,洗面用シングルレバー KVK,個,data/reno-bom-80sqm-v4.json
ユニットバス,浴槽FRP1600mm,個,data/reno-bom-80sqm-v4.json
