flag_code,severity,pattern_en,pattern_ja,reason_en,fraud_rate_pct
DOOR_TO_DOOR_EMERGENCY,CRITICAL,Door-to-door 'your unit is failing' 'fire danger' urgent replacement push,訪問販売で『給湯器が故障してます』『火災の危険』と即座交換迫る,NCAC 2024 warning: 70%+ of victims are 70+ years old. Complaint volume tripled YoY.,
IDENTITY_FRAUD,CRITICAL,'Sent by city office' or 'Your gas company requested us',『自治体から委託』『契約中のガス会社から依頼』身分詐称,Legitimate vendors do not visit unannounced via these channels. Verify directly.,
PRICE_1_5M_OVER_ECOCUTE,CRITICAL,Eco-Cute 460L standard quote exceeding 1.5M JPY,"エコキュート460L標準で¥1,500,000超の見積",HS standard 1.014M JPY (pre-subsidy). Over 1.5M JPY confirmed overpricing.,
PRICE_500K_OVER_GAS,CRITICAL,Eco-Jozu 24-Go replacement exceeding 500K JPY,"エコジョーズ24号交換で¥500,000超",HS standard 250K JPY. Over 500K JPY exceeds 2x markup.,
NO_MODEL_NUMBER,CRITICAL,Quote without manufacturer / model / capacity / grade,メーカー・型番・容量・グレード不明の見積書,Same-capacity Eco-Cute models differ by 400-600K JPY between entry and high grades.,
ISSHIKI_LUMP_SUM,HIGH,Labor and materials lumped as single line item,工事費・材料費が『一式』計上,Water heater installation has 10+ distinct work steps. Refusal to itemize is overpricing pattern.,
DISCOUNT_TODAY_ONLY,HIGH,'30% off today only' 'this price ends today' urgent close,『今日だけ30%OFF』『この価格は今だけ』即決迫り,Fictitious campaigns. The 'regular price' is already inflated.,
FORCED_INSTANT_CONTRACT,HIGH,Refusing to give time for family discussion or comparison,じっくり考える時間を与えず契約を急かす,Pressure tactics to bypass cooling-off period and multi-vendor quotes.,
FAKE_MANUFACTURER_BRAND,HIGH,Unknown manufacturers or OEM brands sold at list price,聞いたことのないメーカー or OEMブランド品を定価で販売,"Verify against major makers (Mitsubishi, Daikin, Panasonic, Corona, Hitachi).",
NO_SUBSIDY_INFO,MEDIUM,No mention of 2026 subsidy program (max 240K JPY),給湯省エネ2026事業の補助金説明なし,Legitimate vendors are registered subsidy agents; absence indicates non-registered or fraudulent.,
NO_WARRANTY,MEDIUM,No 10-year warranty on body/installation,本体・工事の10年保証がない,5-year manufacturer + 5-year contractor warranty is industry standard.,
GAS_NO_LICENSE,CRITICAL,Unlicensed worker performing gas connection,ガス給湯器の接続工事を無資格者が担当,Gas Equipment Installation Supervisor license is legally required. Risk of leak/explosion.,
ELECTRIC_NO_LICENSE,CRITICAL,Unlicensed worker handling Eco-Cute 200V wiring,エコキュート200V工事を無資格者が兼務,Class-2 Electrician license is legally required.,
DELIBERATE_DAMAGE,CRITICAL,Unit 'breaks' during inspection - suspected deliberate damage,点検中に機器が故障する・わざと壊したと疑われる挙動,Criminal pattern. Document with photos/video and contact police.,
FAKE_SUBSIDY_AMOUNT,HIGH,"Subsidy amount mismatches official figures (e.g., 200K JPY for Eco-Cute)",補助金額が公式と違う（エコキュート20万円等の誇大表示）,"Eco-Cute base 70K JPY, max 130K + removal add-ons. Over 200K is misleading advertising.",
