plan_id,plan_name_en,scope_original_ja,hs_rule_jpy,price_jpy_min,price_jpy_max,tier1_sole_proprietor_min,tier1_sole_proprietor_max,tier2_local_contractor_min,tier2_local_contractor_max,tier3_premium_specialist_min,tier3_premium_specialist_max,tier4_major_chain_min,tier4_major_chain_max,durability_years,subsidy_jpy,warranty_years
TRM-PREV-01,Prevention - Standard (Under 10yr building),床下バリア工法（土壌+木部処理）30坪,90000,50000,140000,50000,110000,60000,120000,60000,130000,70000,140000,,,5
TRM-PREV-02,Prevention - Boric Acid (Chemical-sensitive families),ホウ酸系薬剤による予防施工,150000,110000,210000,110000,170000,120000,180000,130000,190000,140000,210000,,,5
TRM-PREV-03,Prevention - Bait System (Continuous Monitoring),外周ベイト剤埋設+3ヶ月毎モニタリング,270000,170000,370000,170000,280000,190000,300000,210000,320000,230000,370000,,,0
TRM-EXT-01,Extermination - Standard (Yamato Termite),床下バリア工法+被害部スポット処理,160000,90000,250000,90000,200000,100000,210000,110000,220000,120000,250000,,,5
TRM-EXT-02,Extermination - Formosan Termite (High Difficulty),バリア+ベイト+巣駆除,400000,220000,600000,220000,400000,250000,450000,280000,500000,300000,600000,,,5
TRM-EXT-03,Extermination - American Drywood Termite (Most Difficult),木部穿孔注入+被害材全交換,1100000,500000,1800000,0,0,500000,1100000,600000,1500000,700000,1800000,,,4
TRM-EXT-04,Extermination - Gas Fumigation (Special Cases Only),家屋全体シート密閉フッ化スルフリル燻蒸,2600000,1100000,5000000,0,0,0,0,1100000,3500000,1800000,5000000,,,0
TRM-DMG-01,Damage Repair - Minor (Post-Extermination),被害木部交換（束柱・根太・大引の一部）,195000,100000,330000,100000,260000,120000,280000,130000,300000,140000,330000,,,0
TRM-DMG-02,Damage Repair - Moderate (Partial Sill Replacement),土台交換(部分)+柱継ぎ+床下補強,625000,300000,1200000,300000,900000,330000,950000,380000,1050000,420000,1200000,,,0
TRM-DMG-03,Damage Repair - Severe (Jack-up + Full Sill Renewal),ジャッキアップ+土台総交換+基礎補修,1875000,950000,3600000,950000,2700000,1050000,2900000,1200000,3200000,1400000,3600000,,,0
TRM-NEW-01,New Construction - Standard Termite Pretreatment,土台・柱・間柱・筋交の木部+土壌処理,155000,100000,230000,100000,180000,110000,190000,120000,200000,140000,230000,,,5
TRM-RE-01,Renewal - 5-Year Re-Treatment,バリア工法再施工,135000,80000,210000,80000,170000,90000,180000,100000,190000,110000,210000,,,5
TRM-EMG-01,Emergency - Mass Swarmer Outbreak (Same-day),緊急スポット+本格駆除の2段階,315000,180000,500000,180000,380000,200000,420000,230000,450000,260000,500000,,,5
