flag_code,severity,pattern_en,pattern_ja,reason_en,fraud_rate_pct
BODY_LIST_PRICE_CLOSE,CRITICAL,Bath unit body quoted at list price or less than 20% off,UB本体が定価のまま or 定価20%OFF未満で計上,TOTO/LIXIL trade purchase price is 60% off list. Anywhere near list is overpricing.,
ISSHIKI_LUMP_SUM,CRITICAL,"Demolition, carpentry, plumbing all lumped as single items",解体・大工工事・配管が全て『一式』計上,Bathroom is the highest-step-count category. Lumping is always overpricing pattern.,
ZAIRAI_UNDER_1M,HIGH,Conventional-to-UB quote under 1M JPY,"在来→UB工事で¥1,000,000未満の見積もり",HS standard 1.94M JPY. Under 1M signals add-on extortion later.,
ZAIRAI_OVER_3M_NO_WINDOW,HIGH,Conventional-to-UB (no window work) over 3M JPY,"在来→UB（窓工事なし）で¥3,000,000超",HS standard 1.94M JPY. Over 3M without window work exceeds 1.5x markup.,
PREMIUM_OVER_5M,HIGH,Premium UB + conventional renovation over 5M JPY,"最上位UB+在来改装で¥5,000,000超",HS standard 3.8M JPY. Over 5M overpriced.,
NO_DODAI_CHECK,CRITICAL,20+ year conventional demolition without sill/foundation assessment,築20年以上の在来解体なのに土台状態確認・補修予算記載なし,Old conventional bathrooms have 50% sill rot rate and 30% termite rate. Absence indicates surprise-billing pattern.,
NO_MANUFACTURER_MODEL,CRITICAL,UB manufacturer / series / size / model not specified,UBメーカー・シリーズ・サイズ・型番不明,TOTO Sazana N vs Shinra differ by over 1M JPY. Ambiguity is fraud territory.,
FORCED_PREMIUM_GRADE,HIGH,Forcing premium grade (Spagia/Shinra) when standard would suffice,標準で十分なのに最上位グレード強要,Standard grade (Arise/Sazana N) sufficient for typical detached homes. Pushes 800K-1.5M JPY excess.,
WINDOW_LUMP_SUM,MEDIUM,Window work lumped without specifying method (cover vs demolition),窓工事が『一式』、工法（カバー/はつり）の明示なし,Cover method 150K vs demolition 400K JPY differ significantly.,
NO_EXTERIOR_RECOVERY_PLAN,HIGH,Window resizing without exterior wall recovery,窓サイズ変更工事なのに外壁復旧工事の記載なし,"Without exterior recovery, leak risks emerge. Often used as add-on extortion.",
SHORT_WORK_PERIOD_ZAIRAI,MEDIUM,Conventional-to-UB quoted at under 3 days,在来→UBで工期3日以下を提示,Conventional-to-UB requires minimum 5 days. Suggests cutting corners.,
GAS_NO_LICENSE,CRITICAL,Unlicensed worker handling gas reheat piping,追焚配管工事を無資格者が担当,Gas Equipment Installation Supervisor license is legally required.,
ELECTRIC_NO_LICENSE,CRITICAL,Unlicensed worker handling electrical work,電気工事を無資格者が兼務,Class-2 Electrician license is legally required.,
TOTO_LIXIL_NO_DELIVERY,CRITICAL,Post-Apr-13 2026 contract specifies TOTO/LIXIL without delivery date confirmation,2026/4/13以降の新規契約でTOTO/LIXIL指定も納期確認なし,Both manufacturers stopped new orders. Risk of indefinite construction delay. Demand confirmed delivery before signing.,
MANSION_RULE_IGNORE,HIGH,No assessment of mansion (apartment) common-area piping impact,マンション共用部（配管・排水管）への影響チェックなし,Mansion bathroom regulations restrict piping changes. Building management approval required.,
