category,item_name,unit
"解体・仮設","養生シート（ブルーシート #3000）","枚"
"解体・仮設","養生テープ（50mm×25m）","巻"
"解体・仮設","解体袋（土嚢袋）","枚"
"解体・仮設","仮設トイレリース（2ヶ月）","台"
"解体・仮設","仮設電力（工事用分電盤）","式"
"解体・仮設","仮囲いフェンス（1m）","m"
"解体・仮設","クリーニング（最終清掃）","式"
"木構造材（補修・追加）","KD材 105×105×3000mm（杉・乾燥）","本"
"木構造材（補修・追加）","KD材 45×105×3000mm（杉・間柱）","本"
"木構造材（補修・追加）","KD材 45×45×3000mm（胴縁）","本"
"木構造材（補修・追加）","KD材 30×40×3000mm（野縁）","本"
"木構造材（補修・追加）","LVL梁 105×210×4000mm","本"
"木構造材（補修・追加）","土台ヒノキ 105×105×3000mm","本"
"木構造材（補修・追加）","根太 45×45×3000mm","本"
"木構造材（補修・追加）","大引 90×90×3000mm","本"
"木構造材（補修・追加）","束（プラ束 高さ調整式）","個"
"木構造材（補修・追加）","火打ち梁金物","個"
"構造用合板・面材","構造用合板 9mm 910×1820mm","枚"
"構造用合板・面材","構造用合板 12mm 910×1820mm","枚"
"構造用合板・面材","構造用合板 24mm 910×1820mm","枚"
"構造用合板・面材","OSB合板 9mm 910×1820mm","枚"
"構造用合板・面材","ケイカル板 6mm 910×1820mm","枚"
"構造金物・耐震","ホールダウン金物 HD-B15（引寄せ金物）","個"
"構造金物・耐震","筋交い金物 BP-2","個"
"構造金物・耐震","羽子板ボルト M12×200mm","個"
"構造金物・耐震","アンカーボルト M16×600mm","本"
"構造金物・耐震","ドリフトピン φ12×150mm","本"
"構造金物・耐震","耐力壁面材（ダイライト 9mm）","枚"
"釘・ビス・金物","コーススレッド 3.8×65mm（500本）","箱"
"釘・ビス・金物","コーススレッド 3.8×90mm（500本）","箱"
"釘・ビス・金物","コーススレッド 4.2×100mm（500本）","箱"
"釘・ビス・金物","ビス 3.5×32mm（500本）","箱"
"釘・ビス・金物","フロアビス 3.8×45mm（200本）","箱"
"釘・ビス・金物","N釘 N65（1kg）","kg"
"釘・ビス・金物","N釘 N75（1kg）","kg"
"釘・ビス・金物","CN釘 CN90（1kg）","kg"
"釘・ビス・金物","GNFボードビス 25mm（1000本）","箱"
"釘・ビス・金物","ステンレスビス 3.5×45mm（100本）","箱"
"釘・ビス・金物","プラグ 6mm（100個）","袋"
"釘・ビス・金物","ケミカルアンカー M10×130mm","本"
"断熱材","グラスウール 16K 100mm（1坪袋）","袋"
"断熱材","グラスウール 16K 50mm（1坪袋）","袋"
"断熱材","発泡スチロール 100mm 910×1820mm","枚"
"断熱材","発泡スチロール 50mm 910×1820mm","枚"
"断熱材","防湿シート 0.2mm×2m×50m","巻"
"断熱材","透湿防水シート 1m×50m","巻"
"断熱材","発泡ウレタンスプレー（500ml）","本"
"内装下地材","石膏ボード 12.5mm 910×1820mm","枚"
"内装下地材","石膏ボード 9.5mm 910×1820mm","枚"
"内装下地材","強化石膏ボード 15mm 910×1820mm","枚"
"内装下地材","耐水石膏ボード 12.5mm 910×1820mm","枚"
"フローリング・床材","複合フローリング 12mm（1m²）","m²"
"フローリング・床材","フローリング接着剤（床用 16kg缶）","缶"
"フローリング・床材","床下地合板 12mm（1m²）","m²"
"フローリング・床材","タイル 磁器100角 床用（1m²）","m²"
"フローリング・床材","タイル目地材（1kg）","kg"
"フローリング・床材","タイル接着剤（5kg）","袋"
"クロス・内装仕上げ","一般クロス 量産品（92cm×50m）","巻"
"クロス・内装仕上げ","クロス糊（でんぷん糊 20kg）","袋"
"クロス・内装仕上げ","クロス下地シーラー（16L）","缶"
"クロス・内装仕上げ","パテ（クロス下地 20kg）","袋"
"クロス・内装仕上げ","コーナーテープ（25mm×25m）","巻"
"建具（室内ドア・引き戸）","LIXIL 室内ドア フラッシュ W800","枚"
"建具（室内ドア・引き戸）","LIXIL 室内ドア フラッシュ W900","枚"
"建具（室内ドア・引き戸）","LIXIL 引き戸 2枚建て W1650","組"
"建具（室内ドア・引き戸）","収納折り戸 W900","枚"
"建具（室内ドア・引き戸）","ドア枠・ケーシング（1セット）","セット"
"建具（室内ドア・引き戸）","丁番（ステンレス）","個"
"建具（室内ドア・引き戸）","ドアノブ（レバーハンドル）","個"
"建具（室内ドア・引き戸）","引き戸レール・戸車セット","セット"
"窓・サッシ","YKK AP エピソードⅡ 引違い W1690×H1170","枚"
"窓・サッシ","YKK AP エピソードⅡ 引違い W1365×H970","枚"
"窓・サッシ","YKK AP FIX窓 W780×H770","枚"
"窓・サッシ","内窓 プラマードU W1690×H1170","枚"
"窓・サッシ","窓台・額縁材料（1窓セット）","セット"
"窓・サッシ","気密テープ（75mm×20m）","巻"
"玄関ドア","LIXIL ジエスタ2 K2断熱 W900","枚"
"玄関ドア","玄関枠材料（カバー工法用）","式"
"照明器具","パナソニック LEDシーリング〜8畳","個"
"照明器具","パナソニック LEDシーリング〜12畳","個"
"照明器具","ダウンライト LED φ100（白）","個"
"照明器具","キッチン手元灯（蛍光灯型）","個"
"照明器具","人感センサーライト（屋外用）","個"
"照明器具","引掛シーリング（直付け）","個"
"換気設備","パナソニック 天井換気扇 FY-17C8（トイレ）","台"
"換気設備","パナソニック 天井換気扇 FY-24BK6（浴室）","台"
"換気設備","24時間換気 第3種（天井埋込）","台"
"換気設備","換気ダクト PF管 φ100（1m）","m"
"換気設備","換気フード（外壁用 φ100）","個"
"換気設備","レンジフード（幅60cm・標準）","台"
"タイル工事（水回り）","磁器タイル 100角 壁用（1m²）","m²"
"タイル工事（水回り）","磁器タイル 150角 壁用（1m²）","m²"
"タイル工事（水回り）","タイル接着剤（5kg袋）","袋"
"タイル工事（水回り）","タイル目地材 グレー（1kg）","kg"
"タイル工事（水回り）","タイル剥がし防止シート","m²"
"巾木・廻縁・造作材","巾木 MDF 60mm（2400mm）","本"
"巾木・廻縁・造作材","廻縁 MDF 30×25mm（2400mm）","本"
"巾木・廻縁・造作材","見切り材 アルミ（2000mm）","本"
"巾木・廻縁・造作材","窓台 MDF 150mm（2000mm）","本"
"巾木・廻縁・造作材","棚板 化粧合板 15mm（900×1800mm）","枚"
"巾木・廻縁・造作材","可動棚金物（1セット）","セット"
"巾木・廻縁・造作材","クローゼットポール（φ35×1800mm）","本"
"水栓金具・衛生器具部材","キッチン水栓（シングルレバー混合）","個"
"水栓金具・衛生器具部材","洗面水栓（シングルレバー）","個"
"水栓金具・衛生器具部材","シャワー水栓（サーモスタット）","個"
"水栓金具・衛生器具部材","止水栓 13mm アングル型","個"
"水栓金具・衛生器具部材","フレキ管 13mm×300mm","本"
"水栓金具・衛生器具部材","排水トラップ φ50","個"
"水栓金具・衛生器具部材","タオルバー（600mm ステンレス）","本"
"水栓金具・衛生器具部材","ペーパーホルダー（ステンレス）","個"
"給排水配管材","架橋ポリエチレン管 13mm（50m巻）","巻"
"給排水配管材","架橋ポリエチレン管 20mm（30m巻）","巻"
"給排水配管材","塩ビ管 VP100（4m）","本"
"給排水配管材","塩ビ管 VP75（4m）","本"
"給排水配管材","塩ビ管 VP50（4m）","本"
"給排水配管材","排水継手 VP100エルボ","個"
"給排水配管材","排水継手 VP100チーズ","個"
"給排水配管材","排水継手 VP50エルボ","個"
"給排水配管材","床排水金物 φ50","個"
"給排水配管材","防露材 保温材 13mm（1m）","m"
"電気配線材","VVFケーブル 2.0mm×2芯（100m巻）","巻"
"電気配線材","VVFケーブル 2.0mm×3芯（100m巻）","巻"
"電気配線材","VVFケーブル 2.6mm×2芯（100m巻）","巻"
"電気配線材","コンセントプレート 1口 ホワイト","個"
"電気配線材","コンセントプレート 2口 ホワイト","個"
"電気配線材","スイッチ 片切 ホワイト","個"
"電気配線材","スイッチ 3路（2個1組）","組"
"電気配線材","引掛シーリング 直付け","個"
"電気配線材","分電盤 主幹40A 14回路","台"
"電気配線材","アース線 2.0mm（20m）","巻"
"電気配線材","電線管 PF管 16mm（50m巻）","巻"
"塗装・コーキング・接着剤","変性シリコン コーキング（320ml）","本"
"塗装・コーキング・接着剤","ウレタンコーキング（320ml）","本"
"塗装・コーキング・接着剤","水性塗料 外部用（16L）","缶"
"塗装・コーキング・接着剤","水性塗料 内部用（14L）","缶"
"塗装・コーキング・接着剤","プライマー 下塗り（16L）","缶"
"塗装・コーキング・接着剤","床用接着剤 フロアメント（16kg）","缶"
"塗装・コーキング・接着剤","壁用接着剤 ボンドE350（1kg）","缶"
"防蟻・防腐処理","エコボロン PRO ホウ酸系（18L）","缶"
"防蟻・防腐処理","木材保存剤 ACQ（銅系 18L）","缶"
"防蟻・防腐処理","防蟻シート（1m×20m）","巻"
"産廃・廃材処理","木くず処分費（1m³）","m³"
"産廃・廃材処理","石膏ボード処分費（1m³）","m³"
"産廃・廃材処理","混合廃棄物処分費（1m³）","m³"
"産廃・廃材処理","廃プラ・断熱材処分費（1m³）","m³"
"産廃・廃材処理","金属くず（売却 1トン）","t"
"産廃・廃材処理","廃材運搬費（2tトラック）","回"
"階段材料","階段踏板 LVL 30mm×910×270mm","枚"
"階段材料","階段蹴込板 9mm×910×200mm","枚"
"階段材料","階段側板 25mm×300×3000mm","枚"
"階段材料","階段手すり 丸棒 φ35×3000mm","本"
"階段材料","手すり金物（ブラケット）","個"
"階段材料","階段笠木 MDF 60mm×3000mm","本"
"階段材料","階段滑り止め（ゴム製 1m）","m"
"階段材料","階段コーナー保護材","個"
"エアコン・空調","ダイキン エアコン 6畳用 スタンダード（本体+標準取付）","台"
"エアコン・空調","ダイキン エアコン 14畳用 スタンダード（本体+標準取付）","台"
"エアコン・空調","エアコン専用コンセント工事","箇所"
"エアコン・空調","エアコン配管カバー（1m）","m"
"エアコン・空調","エアコンスリーブ（φ70）","個"
"屋根材料（カバー工法）","ケイミュー 金属屋根横葺き（1m²）","m²"
"屋根材料（カバー工法）","ルーフィング 改質アスファルト（1m²）","m²"
"屋根材料（カバー工法）","棟包み板金（1m）","m"
"屋根材料（カバー工法）","軒先板金（1m）","m"
"屋根材料（カバー工法）","谷板金 ステンレス（1m）","m"
