flag_code,severity,pattern_en,pattern_ja,reason_en,fraud_rate_pct
NO_SUBSIDY_INFO,CRITICAL,No mention of 'Senshinteki Mado Rinobe 2026' subsidy (max 1M JPY),先進的窓リノベ2026事業の説明なし,Vendor unaware of (or refuses to apply for) the 2026 max-subsidy of 1M JPY/household disqualifies them.,
NOT_REGISTERED_VENDOR,CRITICAL,Not a registered '2026 Housing Energy-Saving Support Vendor',住宅省エネ2026支援事業者に登録していない,Subsidy applications are vendor-side only. Non-registered vendors cannot deliver the subsidy.,
NON_COMPLIANT_GRADE,HIGH,Proposing A-grade (regular Low-E pair glass) which is excluded in 2026,2026年廃止のAグレード（普通Low-E複層ガラス）を提案,A-grade inner windows are excluded from 2026 subsidy. Must be S-grade (Uw≤1.5) or higher.,
NO_MANUFACTURER_MODEL,CRITICAL,Manufacturer / model / glass grade not specified,メーカー・型番・ガラスグレード不明,LIXIL Inplus vs YKK AP Plamado-U differ in price/performance. Ambiguity is fraud territory.,
INNER_WINDOW_OVER_600K,CRITICAL,Inner window x1 quoted over 600K JPY,"内窓1箇所で¥600,000超",HS standard for sliding door 496K JPY. Over 600K is overpricing.,
COVER_METHOD_OVER_500K,HIGH,Cover method x1 quoted over 500K JPY,"カバー工法1箇所で¥500,000超",HS standard for sliding door 360K JPY. Over 500K overpriced.,
ISSHIKI_LUMP_SUM,HIGH,Labor and materials lumped as single line item,工事費・材料費が『一式』計上,Per-window itemization possible. Lumping suggests overpricing.,
SUBSIDY_FEE_OVER,MEDIUM,Charging over 30K JPY for subsidy application service,"補助金申請代行費を¥30,000超請求",Standard fee is 10-20K JPY. Higher fees are excessive.,
FORCED_HATSURI,HIGH,Pushing demolition method when cover method suffices,カバー工法で十分な案件にはつり工法強要,"If existing frame is sound, cover method is sufficient. Adds 100-300K JPY needlessly.",
DOOR_TO_DOOR_SCAM,HIGH,Door-to-door 'subsidy deadline approaching' urgent close,訪問販売で『補助金期限迫ってます』即決迫り,Subsidies are budget-dependent but legitimate vendors do not pressure-close.,
FAKE_SUBSIDY_CLAIM,CRITICAL,'Free with subsidy' claim,『補助金で無料になります』と言う,Subsidies cover only a portion. 100% subsidies do not exist - this is fraud.,
SIZE_DOWNGRADE_HIDDEN,MEDIUM,No disclosure of glass area reduction in cover method,カバー工法で開口面積減少の説明なし,Cover method reduces glass area by 5-10cm. Pre-disclosure is vendor honesty signal.,
UNREGISTERED_CLAIM,CRITICAL,Self-claims to be a registered vendor but absent from official search,『当社は登録事業者です』と自称するが公式サイト検索で出ない,Search official jutaku-shoene2026.mlit.go.jp/search-for-manufacturer/ to verify.,
FAKE_GRADE_SS_PLUS,MEDIUM,Made-up grades like 'SS+' or 'S++' not in official spec,『SS+』『S++』等、公式に存在しないグレード表記,Official grades are P(SS)/S/A only. Marketing-only labels can mislead.,
DOOR_SOLO_SUBSIDY_CLAIM,CRITICAL,'Solo entrance door subsidy available' claim,『玄関ドア単体で補助金出ます』と説明,Door replacement requires concurrent window work for subsidy eligibility.,
