category,item_name,unit
エアコン・空調,コロナ エアコン 18畳用 プレミアム,台
エアコン・空調,シャープ AY-N22H 6畳 2.2kW,台
エアコン・空調,スパイラルダクト φ560 ステンレス SUS304 1m,m
エアコン・空調,スパイラルダクト φ560 亜鉛鋼板（標準） 1m,m
エアコン・空調,ダイキン S22YTES 6畳 2.2kW,台
エアコン・空調,ダイキン S28YTES 10畳 2.8kW,台
エアコン・空調,ダイキン S40YTES 14畳 4.0kW,台
エアコン・空調,ダイキン S63YTES 20畳 6.3kW,台
エアコン・空調,ダイキン S80YTES 26畳 8.0kW,台
エアコン・空調,ダイキン エアコン 10畳用 2.8kW スタンダード 換気機能付き,台
エアコン・空調,ダイキン エアコン 10畳用 2.8kW 上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 10畳用 2.8kW 最上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 12畳用 3.6kW スタンダード 換気機能付き,台
エアコン・空調,ダイキン エアコン 12畳用 3.6kW 上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 12畳用 3.6kW 最上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 14畳用 4.0kW スタンダード 換気機能付き,台
エアコン・空調,ダイキン エアコン 14畳用 4.0kW 上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 14畳用 4.0kW 最上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 18畳用 5.6kW スタンダード 換気機能付き,台
エアコン・空調,ダイキン エアコン 18畳用 5.6kW 上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 18畳用 5.6kW 最上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 20畳用 6.3kW スタンダード 換気機能付き,台
エアコン・空調,ダイキン エアコン 20畳用 6.3kW 上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 20畳用 6.3kW 最上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 23畳用 7.1kW スタンダード 換気機能付き,台
エアコン・空調,ダイキン エアコン 23畳用 7.1kW 上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 23畳用 7.1kW 最上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 6畳用 2.2kW スタンダード 換気機能付き,台
エアコン・空調,ダイキン エアコン 6畳用 2.2kW 上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 8畳用 2.5kW スタンダード 換気機能付き,台
エアコン・空調,ダイキン エアコン 8畳用 2.5kW 上位 換気機能付き,台
エアコン・空調,ダイキン エアコン 8畳用 2.5kW 最上位 換気機能付き,台
エアコン・空調,ダクト附属品 グリル（吸込口 600×300）,個
エアコン・空調,ダクト附属品 グリル（吹出口 600×150）,個
エアコン・空調,ダクト附属品 ダクト用シール材（ロールテープ）,個
エアコン・空調,ダクト附属品 ダクト用断熱材（グラスウール 25mm 1m）,個
エアコン・空調,ダクト附属品 ダクト用断熱材（フォーム 25mm 1m）,個
エアコン・空調,ダクト附属品 ライン型吹出口 W600,個
エアコン・空調,ダクト附属品 防煙ダンパー（連動型）,個
エアコン・空調,パナソニック CS-222DFE 6畳 2.2kW,台
エアコン・空調,パナソニック CS-282DFE 10畳 2.8kW,台
エアコン・空調,パナソニック（全館空調） CO2センサー 室内用（HEMS連動）,台
エアコン・空調,パナソニック（全館空調） 全熱交換換気 大型 400m³/h,台
エアコン・空調,パナソニック（全館空調） 全館空調 120〜160㎡対応 大型,台
エアコン・空調,パナソニック（全館空調） 全館空調 200㎡以上 業務用クラス,台
エアコン・空調,パナソニック（全館空調） 全館空調 スマート制御盤,台
エアコン・空調,パナソニック（全館空調） 全館空調 チャンバーボックス,台
エアコン・空調,パナソニック（全館空調） 全館空調 吹出口グリル（天井 200×200）,台
エアコン・空調,パナソニック（全館空調） 全館空調 風量調整ダンパー,台
エアコン・空調,パナソニック（全館空調） 全館空調システム 本体 80〜120㎡対応,台
エアコン・空調,パナソニック（全館空調） 床下冷暖房システム（基礎断熱必須）,台
エアコン・空調,パナソニック（全館空調） 輻射冷暖房 壁型パネル（1m²）,台
エアコン・空調,パナソニック（全館空調） 輻射冷暖房パネル 天井型（1m）,台
エアコン・空調,日本電気 エアコン 10畳用 スタンダード,台
エアコン・空調,日本電気 エアコン 10畳用 プレミアム,台
エアコン・空調,日本電気 エアコン 10畳用 ミドル,台
エアコン・空調,日本電気 エアコン 14畳用 スタンダード,台
エアコン・空調,日本電気 エアコン 14畳用 プレミアム,台
エアコン・空調,日本電気 エアコン 14畳用 ミドル,台
エアコン・空調,日本電気 エアコン 18畳用 スタンダード,台
エアコン・空調,日本電気 エアコン 18畳用 プレミアム,台
エアコン・空調,日本電気 エアコン 18畳用 ミドル,台
エアコン・空調,日本電気 エアコン 20畳用 スタンダード,台
エアコン・空調,日本電気 エアコン 20畳用 プレミアム,台
エアコン・空調,日本電気 エアコン 20畳用 ミドル,台
エアコン・空調,日本電気 エアコン 6畳用 スタンダード,台
エアコン・空調,日本電気 エアコン 6畳用 プレミアム,台
エアコン・空調,日本電気 エアコン 6畳用 ミドル,台
エアコン・空調,日本電気 エアコン 8畳用 スタンダード,台
エアコン・空調,日本電気 エアコン 8畳用 プレミアム,台
エアコン・空調,日本電気 エアコン 8畳用 ミドル,台
エアコン・空調,日立 RAS-D22L 6畳 2.2kW,台
エアコン・空調,日立 エアコン 10畳用 2.8kW スタンダード 換気機能付き,台
エアコン・空調,日立 エアコン 10畳用 2.8kW 上位 換気機能付き,台
エアコン・空調,日立 エアコン 10畳用 2.8kW 最上位 換気機能付き,台
