plan_id,プラン名,工事内容,HS基準価格_円,相場_最小_円,相場_最大_円,区分1_個人業者_最小,区分1_個人業者_最大,区分2_中小工務店_最小,区分2_中小工務店_最大,区分3_人気工務店_最小,区分3_人気工務店_最大,区分4_大手リフォーム_最小,区分4_大手リフォーム_最大,耐用年数,補助金額_円,保証年数
TRM-PREV-01,予防_最安_10年未満既存住宅,床下バリア工法（土壌+木部処理）30坪,90000,50000,140000,50000,110000,60000,120000,60000,130000,70000,140000,,,5
TRM-PREV-02,予防_推奨_自然由来_化学物質過敏症対応,ホウ酸系薬剤による予防施工,150000,110000,210000,110000,170000,120000,180000,130000,190000,140000,210000,,,5
TRM-PREV-03,予防_ベイト工法_継続管理,外周ベイト剤埋設+3ヶ月毎モニタリング,270000,170000,370000,170000,280000,190000,300000,210000,320000,230000,370000,,,0
TRM-EXT-01,駆除_標準_ヤマトシロアリ,床下バリア工法+被害部スポット処理,160000,90000,250000,90000,200000,100000,210000,110000,220000,120000,250000,,,5
TRM-EXT-02,駆除_イエシロアリ対応_高難度,バリア+ベイト+巣駆除,400000,220000,600000,220000,400000,250000,450000,280000,500000,300000,600000,,,5
TRM-EXT-03,駆除_アメリカカンザイシロアリ対応_最難,木部穿孔注入+被害材全交換,1100000,500000,1800000,0,0,500000,1100000,600000,1500000,700000,1800000,,,4
TRM-EXT-04,駆除_燻蒸処理_超特殊ケース,家屋全体シート密閉フッ化スルフリル燻蒸,2600000,1100000,5000000,0,0,0,0,1100000,3500000,1800000,5000000,,,0
TRM-DMG-01,被害補修_軽度_駆除後の補修,被害木部交換（束柱・根太・大引の一部）,195000,100000,330000,100000,260000,120000,280000,130000,300000,140000,330000,,,0
TRM-DMG-02,被害補修_中度_土台一部交換,土台交換(部分)+柱継ぎ+床下補強,625000,300000,1200000,300000,900000,330000,950000,380000,1050000,420000,1200000,,,0
TRM-DMG-03,被害補修_重度_ジャッキアップ+土台総交換,ジャッキアップ+土台総交換+基礎補修,1875000,950000,3600000,950000,2700000,1050000,2900000,1200000,3200000,1400000,3600000,,,0
TRM-NEW-01,新築時の防蟻処理_標準,土台・柱・間柱・筋交の木部+土壌処理,155000,100000,230000,100000,180000,110000,190000,120000,200000,140000,230000,,,5
TRM-RE-01,再施工_5年後の更新,バリア工法再施工,135000,80000,210000,80000,170000,90000,180000,100000,190000,110000,210000,,,5
TRM-EMG-01,緊急_羽アリ大量発生_即日対応,緊急スポット+本格駆除の2段階,315000,180000,500000,180000,380000,200000,420000,230000,450000,260000,500000,,,5
