category,item_name,unit,duplicate_of_row,removed_row
タイル・石材,ガラスモザイク100角,m2,13805,13806
タイル・石材,ガラスモザイク（100角）,m2,13805,13807
タイル・石材,コンクリートブロックCB150,個,13809,13810
タイル・石材,スレートタイル600×300,m2,13812,13813
タイル・石材,スレートタイル（600×300）,m2,13812,13814
タイル・石材,タイル接着剤弾性20kg,袋,13933,13936
タイル・石材,タイル目地材白1kg,袋,13942,13944
タイル・石材,テラコッタタイル（300角）,m2,13947,13948
タイル・石材,ピンコロ石御影100角,個,13951,13952
タイル・石材,ピンコロ石（御影 100角）,個,13951,13954
タイル・石材,モザイクタイル25角,m2,13955,13956
タイル・石材,モザイクタイル（25角）,m2,13955,13957
タイル・石材,レンガ（アンティーク）,個,13960,13961
タイル・石材,人工大理石タイル（300角）,m2,13963,13964
タイル・石材,化粧ブロック（標準色）,個,13965,13966
タイル・石材,外構タイル300角外床用,m2,13969,13970
タイル・石材,大理石タイル300角,m2,13973,13974
タイル・石材,大理石タイル（300角）,m2,13973,13975
タイル・石材,平板石（600×300 御影）,枚,13978,13979
タイル・石材,御影石600角,m2,13980,13984
タイル・石材,御影石（600角）,m2,13980,13985
タイル・石材,石英岩300角天然石,m2,17236,17237
タイル・石材,石英岩（300角 天然石）,m2,17236,17238
タイル・石材,磁器タイル100×200サブウェイ,m2,17240,17254
タイル・石材,磁器タイル100角白床用,m2,17243,17255
タイル・石材,磁器タイル300角床用,m2,17247,17256
タイル・石材,磁器タイル600×1200大判輸入,m2,17248,17257
タイル・石材,磁器タイル600角大判,m2,17250,17258
タイル・石材,磁器タイル木目調150×600,m2,17252,17259
タイル・石材,磁器タイル（100×200 サブウェイ）,m2,17240,17260
タイル・石材,磁器タイル（100角 グレー 床用）,m2,17242,17261
タイル・石材,磁器タイル（100角 白 床用）,m2,17243,17262
タイル・石材,磁器タイル（150角 壁用）,m2,17244,17263
タイル・石材,磁器タイル（300角 壁用）,m2,17246,17264
タイル・石材,磁器タイル（300角 床用）,m2,17247,17265
タイル・石材,磁器タイル（600×1200 大判 輸入）,m2,17248,17266
タイル・石材,磁器タイル（600×300）,m2,17249,17267
タイル・石材,磁器タイル（600角 大判）,m2,17250,17268
タイル・石材,磁器タイル（外壁 45二丁）,m2,17251,17269
タイル・石材,磁器タイル（木目調 150×600）,m2,17252,17270
タイル・石材,磁器タイル（石目調 600角）,m2,17253,17271
リフォーム特有解体費,既存壁撤去・処分（1m²）,m²,27971,27972
リフォーム特有解体費,既存床撤去・処分（1m²）,m²,27981,27982
介護・バリアフリー,コーナーガード（L型 1m）,本,28006,28007
介護・バリアフリー,床段差スロープ（樹脂 30mm）,個,28022,28024
介護・バリアフリー,手摺用ブラケット（壁固定）,個,28053,28054
介護・バリアフリー,手摺（L型 600×400）,セット,28049,28055
介護・バリアフリー,手摺（直線型 ステンレス 35φ 1m）,本,28050,28056
介護・バリアフリー,手摺（直線型 樹脂 35φ 1m）,本,28051,28057
介護・バリアフリー,手摺（跳ね上げ式）,個,28052,28058
介護・バリアフリー,段差解消機（電動 20cm）,台,28065,28066
介護・バリアフリー,自動水栓（センサー式）,個,28083,28084
介護・バリアフリー,遠隔見守りカメラ（天井型）,台,28087,28088
介護・バリアフリー,階段昇降機（直線型）,台,28090,28091
仮設・足場資材,くさび緊結式足場30坪1月,式,28095,28097
