plan_id,plan_name_en,scope_original_ja,hs_rule_jpy,price_jpy_min,price_jpy_max,tier1_sole_proprietor_min,tier1_sole_proprietor_max,tier2_local_contractor_min,tier2_local_contractor_max,tier3_premium_specialist_min,tier3_premium_specialist_max,tier4_major_chain_min,tier4_major_chain_max,durability_years,subsidy_jpy,warranty_years
konsento_simple,Outlet Addition (Existing Branch),,12000,5000,15000,11400,11760,12000,12360,12600,13200,13440,14160,,,
konsento_new_wiring,Outlet New Wiring (2 outlets),,40000,15000,50000,38000,39200,40000,41200,42000,44000,44800,47200,,,
outdoor_konsento,Outdoor Outlet Installation,,55000,15000,70000,52250,53900,55000,56650,57750,60500,61600,64900,,,
200v_conversion_existing,200V Conversion (Existing Circuit),,25000,10000,30000,23750,24500,25000,25750,26250,27500,28000,29500,,,
200v_dedicated_circuit,200V Dedicated Circuit,,65000,30000,80000,61750,63700,65000,66950,68250,71500,72800,76700,,,
distribution_board_upgrade,Distribution Panel Upgrade (Large),,180000,100000,200000,171000,176400,180000,185400,189000,198000,201600,212400,,,
led_whole_house,Whole-House LED Conversion (6 rooms),,240000,100000,300000,228000,235200,240000,247200,252000,264000,268800,283200,,,
ev_charging,EV Charging Outlet Installation,,70000,30000,80000,66500,68600,70000,72100,73500,77000,78400,82600,,,
single2_to_single3,Single-Phase 2-Wire to 3-Wire Upgrade,,260000,100000,300000,247000,254800,260000,267800,273000,286000,291200,306800,,,
full_rewiring_30tsubo,Full House Rewiring (30 tsubo),,1200000,500000,1500000,1140000,1176000,1200000,1236000,1260000,1320000,1344000,1416000,,,
v2_hikikomi_sen_new,New Service Drop Cable,,80000,30000,100000,76000,78400,80000,82400,84000,88000,89600,94400,,,
v2_sanso_dougyoku_residential,Three-Phase Power - Residential,,220000,100000,250000,209000,215600,220000,226600,231000,242000,246400,259600,,,
v2_sanso_dougyoku_business,Three-Phase Power - Commercial,,850000,300000,1500000,807500,833000,850000,875500,892500,935000,952000,1003000,,,
v2_aircon_200v_dedicated,Air Conditioner 200V Dedicated Circuit,,40000,15000,50000,38000,39200,40000,41200,42000,44000,44800,47200,,,
v2_tohden_application,TEPCO Application Process,,25000,10000,30000,23750,24500,25000,25750,26250,27500,28000,29500,,,
v2_private_pole,Private Utility Pole Installation,,260000,100000,300000,247000,254800,260000,267800,273000,286000,291200,306800,,,
v2_24hour_ventilation,24-Hour Ventilation System,,420000,150000,500000,399000,411600,420000,432600,441000,462000,470400,495600,,,
v2_range_hood_replace,Range Hood Replacement,,220000,100000,250000,209000,215600,220000,226600,231000,242000,246400,259600,,,
v2_bath_kanso,Bathroom Dryer Installation,,160000,80000,180000,152000,156800,160000,164800,168000,176000,179200,188800,,,
v2_restaurant_food_duct_small,Restaurant Food Duct - Small,,620000,400000,700000,589000,607600,620000,638600,651000,682000,694400,731600,,,
v2_restaurant_food_duct_roof,Restaurant Food Duct - Roof Vent,,2100000,1000000,2500000,1995000,2058000,2100000,2163000,2205000,2310000,2352000,2478000,,,
v2_cove_shoumei,Cove Lighting Installation,,220000,100000,250000,209000,215600,220000,226600,231000,242000,246400,259600,,,
v2_cornice_shoumei,Cornice Lighting Installation,,180000,80000,200000,171000,176400,180000,185400,189000,198000,201600,212400,,,
v2_kantan_kansetsu_retrofit,Indirect Lighting Retrofit (Simple),,70000,30000,80000,66500,68600,70000,72100,73500,77000,78400,82600,,,
v2_foot_light,Foot Light Installation,,25000,15000,30000,23750,24500,25000,25750,26250,27500,28000,29500,,,
v2_under_shelf_light,Under-Shelf Light Installation,,55000,20000,60000,52250,53900,55000,56650,57750,60500,61600,64900,,,
v2_cat6_room,Cat6 LAN Wiring (1 room),,35000,15000,40000,33250,34300,35000,36050,36750,38500,39200,41300,,,
v2_cat6a_room,Cat6a LAN Wiring (1 room),,55000,25000,60000,52250,53900,55000,56650,57750,60500,61600,64900,,,
v2_whole_house_lan,Whole-House LAN Wiring,,220000,100000,250000,209000,215600,220000,226600,231000,242000,246400,259600,,,
v2_chideji_antenna,Terrestrial Digital Antenna,,35000,20000,40000,33250,34300,35000,36050,36750,38500,39200,41300,,,
v2_bs_cs_antenna,BS/CS Satellite Antenna,,30000,15000,35000,28500,29400,30000,30900,31500,33000,33600,35400,,,
v2_wifi_intercom,WiFi-Enabled Intercom,,100000,50000,120000,95000,98000,100000,103000,105000,110000,112000,118000,,,
v2_fire_alarm_5rooms,Fire Alarm System (5 rooms),,100000,60000,120000,95000,98000,100000,103000,105000,110000,112000,118000,,,
v2_grounding_d_type,Grounding Wire Type-D,,25000,10000,30000,23750,24500,25000,25750,26250,27500,28000,29500,,,
v2_solar_5kw,Solar Panel 5kW System,,1350000,1000000,1500000,1282500,1323000,1350000,1390500,1417500,1485000,1512000,1593000,,,
v2_battery_10kwh,Storage Battery 10kWh,,2200000,1500000,2500000,2090000,2156000,2200000,2266000,2310000,2420000,2464000,2596000,,,
v2_v2h,V2H (Vehicle-to-Home) System,,850000,500000,1000000,807500,833000,850000,875500,892500,935000,952000,1003000,,,
v2_electric_floor_10jo,Electric Floor Heating (10 tatami),,620000,300000,700000,589000,607600,620000,638600,651000,682000,694400,731600,,,
v2_power_conditioner_replace,Power Conditioner Replacement,,350000,200000,400000,332500,343000,350000,360500,367500,385000,392000,413000,,,
